Causas (lista reducida);Sexo;Nacionalidad;Total
012 Tumor maligno del colon;Hombres;PAÍSES DE AMÉRICA;13
012 Tumor maligno del colon;Hombres;Argentina;2
012 Tumor maligno del colon;Hombres;Bolivia;0
012 Tumor maligno del colon;Hombres;Brasil;0
012 Tumor maligno del colon;Hombres;Colombia;2
012 Tumor maligno del colon;Hombres;Cuba;1
012 Tumor maligno del colon;Hombres;Ecuador;0
012 Tumor maligno del colon;Hombres;Estados Unidos de América;1
012 Tumor maligno del colon;Hombres;Perú;1
012 Tumor maligno del colon;Hombres;Uruguay;1
012 Tumor maligno del colon;Hombres;Resto de AMÉRICA;5
012 Tumor maligno del colon;Hombres;PAÍSES DE ASIA;6
012 Tumor maligno del colon;Hombres;China;0
012 Tumor maligno del colon;Hombres;Resto de ASIA;6
012 Tumor maligno del colon;Hombres;Resto de PAÍSES;0
012 Tumor maligno del colon;Hombres;No consta;0
012 Tumor maligno del colon;Mujeres;Total de defunciones;4.889
012 Tumor maligno del colon;Mujeres;PAÍSES DE EUROPA;4.867
012 Tumor maligno del colon;Mujeres;Países de la UE-27;4.858
012 Tumor maligno del colon;Mujeres;Alemania;18
012 Tumor maligno del colon;Mujeres;Austria;0
012 Tumor maligno del colon;Mujeres;Bélgica;1
012 Tumor maligno del colon;Mujeres;Bulgaría;1
012 Tumor maligno del colon;Mujeres;Dinamarca;0
012 Tumor maligno del colon;Mujeres;España;4.782
012 Tumor maligno del colon;Mujeres;Finlandia;1
012 Tumor maligno del colon;Mujeres;Francia;6
012 Tumor maligno del colon;Mujeres;Irlanda;1
012 Tumor maligno del colon;Mujeres;Italia;6
012 Tumor maligno del colon;Mujeres;Países Bajos;4
012 Tumor maligno del colon;Mujeres;Polonia;0
012 Tumor maligno del colon;Mujeres;Portugal;3
012 Tumor maligno del colon;Mujeres;Reino Unido;24
012 Tumor maligno del colon;Mujeres;Rumanía;8
012 Tumor maligno del colon;Mujeres;Suecia;1
012 Tumor maligno del colon;Mujeres;Resto de la UE-27;2
012 Tumor maligno del colon;Mujeres;Noruega;0
012 Tumor maligno del colon;Mujeres;Rusia;1
012 Tumor maligno del colon;Mujeres;Suiza;5
012 Tumor maligno del colon;Mujeres;Ucrania;3
012 Tumor maligno del colon;Mujeres;Resto de EUROPA;0
012 Tumor maligno del colon;Mujeres;PAÍSES DE ÁFRICA;9
012 Tumor maligno del colon;Mujeres;Argelia;0
012 Tumor maligno del colon;Mujeres;Marruecos;9
012 Tumor maligno del colon;Mujeres;Resto de ÁFRICA;0
012 Tumor maligno del colon;Mujeres;PAÍSES DE AMÉRICA;12
012 Tumor maligno del colon;Mujeres;Argentina;2
012 Tumor maligno del colon;Mujeres;Bolivia;0
012 Tumor maligno del colon;Mujeres;Brasil;0
012 Tumor maligno del colon;Mujeres;Colombia;1
012 Tumor maligno del colon;Mujeres;Cuba;0
012 Tumor maligno del colon;Mujeres;Ecuador;0
012 Tumor maligno del colon;Mujeres;Estados Unidos de América;2
012 Tumor maligno del colon;Mujeres;Perú;2
012 Tumor maligno del colon;Mujeres;Uruguay;1
012 Tumor maligno del colon;Mujeres;Resto de AMÉRICA;4
012 Tumor maligno del colon;Mujeres;PAÍSES DE ASIA;1
012 Tumor maligno del colon;Mujeres;China;0
012 Tumor maligno del colon;Mujeres;Resto de ASIA;1
012 Tumor maligno del colon;Mujeres;Resto de PAÍSES;0
012 Tumor maligno del colon;Mujeres;No consta;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Total de defunciones;4.012
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;PAÍSES DE EUROPA;3.977
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Países de la UE-27;3.970
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Alemania;13
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Austria;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Bélgica;4
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Bulgaría;4
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Dinamarca;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;España;3.897
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Finlandia;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Francia;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Irlanda;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Italia;6
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Países Bajos;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Polonia;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Portugal;5
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Reino Unido;25
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Rumanía;5
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Suecia;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Resto de la UE-27;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Noruega;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Rusia;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Suiza;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Ucrania;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Resto de EUROPA;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;PAÍSES DE ÁFRICA;15
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Argelia;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Marruecos;11
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Resto de ÁFRICA;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;PAÍSES DE AMÉRICA;15
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Argentina;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Bolivia;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Brasil;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Colombia;5
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Cuba;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Ecuador;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Estados Unidos de América;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Perú;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Uruguay;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Resto de AMÉRICA;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;PAÍSES DE ASIA;5
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;China;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Resto de ASIA;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Resto de PAÍSES;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;No consta;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Total de defunciones;2.538
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;PAÍSES DE EUROPA;2.520
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Países de la UE-27;2.515
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Alemania;11
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Austria;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Bélgica;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Bulgaría;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Dinamarca;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;España;2.468
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Finlandia;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Francia;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Irlanda;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Italia;5
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Países Bajos;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Polonia;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Portugal;4
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Reino Unido;17
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Rumanía;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Suecia;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Resto de la UE-27;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Noruega;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Rusia;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Suiza;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Ucrania;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Resto de EUROPA;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;PAÍSES DE ÁFRICA;10
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Argelia;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Marruecos;7
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Resto de ÁFRICA;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;PAÍSES DE AMÉRICA;5
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Argentina;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Bolivia;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Brasil;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Colombia;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Cuba;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Ecuador;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Estados Unidos de América;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Perú;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Uruguay;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Resto de AMÉRICA;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;PAÍSES DE ASIA;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;China;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Resto de ASIA;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Resto de PAÍSES;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;No consta;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Total de defunciones;1.474
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;PAÍSES DE EUROPA;1.457
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Países de la UE-27;1.455
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Alemania;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Austria;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Bélgica;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Bulgaría;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Dinamarca;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;España;1.429
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Finlandia;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Francia;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Irlanda;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Italia;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Países Bajos;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Polonia;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Portugal;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Reino Unido;8
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Rumanía;4
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Suecia;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Resto de la UE-27;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Noruega;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Rusia;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Suiza;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Ucrania;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Resto de EUROPA;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;PAÍSES DE ÁFRICA;5
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Argelia;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Marruecos;4
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Resto de ÁFRICA;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;PAÍSES DE AMÉRICA;10
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Argentina;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Bolivia;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Brasil;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Colombia;3
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Cuba;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Ecuador;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Estados Unidos de América;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Perú;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Uruguay;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Resto de AMÉRICA;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;PAÍSES DE ASIA;2
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;China;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Resto de ASIA;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Resto de PAÍSES;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;No consta;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Total de defunciones;4.989
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;PAÍSES DE EUROPA;4.928
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Países de la UE-27;4.921
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Alemania;14
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Austria;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Bélgica;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Bulgaría;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Dinamarca;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;España;4.824
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Finlandia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Francia;5
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Irlanda;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Italia;6
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Países Bajos;7
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Polonia;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Portugal;8
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Reino Unido;29
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Rumanía;15
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Suecia;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Resto de la UE-27;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Noruega;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Rusia;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Suiza;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Ucrania;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Resto de EUROPA;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;PAÍSES DE ÁFRICA;21
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Argelia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Marruecos;10
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Resto de ÁFRICA;11
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;PAÍSES DE AMÉRICA;23
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Argentina;5
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Bolivia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Brasil;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Colombia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Cuba;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Ecuador;4
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Estados Unidos de América;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Perú;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Uruguay;4
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Resto de AMÉRICA;4
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;PAÍSES DE ASIA;17
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;China;14
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Resto de ASIA;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Resto de PAÍSES;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;No consta;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Total de defunciones;3.410
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;PAÍSES DE EUROPA;3.359
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Países de la UE-27;3.355
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Alemania;9
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Austria;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Bélgica;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Bulgaría;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Dinamarca;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;España;3.292
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Finlandia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Francia;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Irlanda;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Italia;4
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Países Bajos;6
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Polonia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Portugal;7
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Reino Unido;19
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Rumanía;7
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Suecia;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Resto de la UE-27;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Noruega;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Rusia;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Suiza;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Ucrania;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Resto de EUROPA;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;PAÍSES DE ÁFRICA;21
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Argelia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Marruecos;10
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Resto de ÁFRICA;11
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;PAÍSES DE AMÉRICA;15
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Argentina;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Bolivia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Brasil;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Colombia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Cuba;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Ecuador;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Estados Unidos de América;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Perú;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Uruguay;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Resto de AMÉRICA;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;PAÍSES DE ASIA;15
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;China;12
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Resto de ASIA;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Resto de PAÍSES;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;No consta;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Total de defunciones;1.579
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;PAÍSES DE EUROPA;1.569
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Países de la UE-27;1.566
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Alemania;5
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Austria;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Bélgica;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Bulgaría;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Dinamarca;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;España;1.532
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Finlandia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Francia;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Irlanda;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Italia;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Países Bajos;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Polonia;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Portugal;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Reino Unido;10
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Rumanía;8
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Suecia;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Resto de la UE-27;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Noruega;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Rusia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Suiza;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Ucrania;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Resto de EUROPA;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;PAÍSES DE ÁFRICA;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Argelia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Marruecos;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Resto de ÁFRICA;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;PAÍSES DE AMÉRICA;8
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Argentina;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Bolivia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Brasil;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Colombia;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Cuba;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Ecuador;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Estados Unidos de América;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Perú;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Uruguay;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Resto de AMÉRICA;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;PAÍSES DE ASIA;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;China;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Resto de ASIA;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Resto de PAÍSES;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;No consta;0
015 Tumor maligno del páncreas;Ambos sexos;Total de defunciones;6.789
015 Tumor maligno del páncreas;Ambos sexos;PAÍSES DE EUROPA;6.745
015 Tumor maligno del páncreas;Ambos sexos;Países de la UE-27;6.732
015 Tumor maligno del páncreas;Ambos sexos;Alemania;22
015 Tumor maligno del páncreas;Ambos sexos;Austria;0
015 Tumor maligno del páncreas;Ambos sexos;Bélgica;6
015 Tumor maligno del páncreas;Ambos sexos;Bulgaría;9
015 Tumor maligno del páncreas;Ambos sexos;Dinamarca;0
015 Tumor maligno del páncreas;Ambos sexos;España;6.569
015 Tumor maligno del páncreas;Ambos sexos;Finlandia;0
015 Tumor maligno del páncreas;Ambos sexos;Francia;15
015 Tumor maligno del páncreas;Ambos sexos;Irlanda;1
015 Tumor maligno del páncreas;Ambos sexos;Italia;13
015 Tumor maligno del páncreas;Ambos sexos;Países Bajos;10
015 Tumor maligno del páncreas;Ambos sexos;Polonia;0
015 Tumor maligno del páncreas;Ambos sexos;Portugal;4
