Causas (lista reducida);Sexo;Nacionalidad;Total
001-102 I-XXII.Todas las causas;Hombres;Resto de AMÉRICA;188
001-102 I-XXII.Todas las causas;Hombres;PAÍSES DE ASIA;261
001-102 I-XXII.Todas las causas;Hombres;China;97
001-102 I-XXII.Todas las causas;Hombres;Resto de ASIA;164
001-102 I-XXII.Todas las causas;Hombres;Resto de PAÍSES;18
001-102 I-XXII.Todas las causas;Hombres;No consta;28
001-102 I-XXII.Todas las causas;Mujeres;Total de defunciones;201.618
001-102 I-XXII.Todas las causas;Mujeres;PAÍSES DE EUROPA;200.275
001-102 I-XXII.Todas las causas;Mujeres;Países de la UE-27;199.933
001-102 I-XXII.Todas las causas;Mujeres;Alemania;610
001-102 I-XXII.Todas las causas;Mujeres;Austria;20
001-102 I-XXII.Todas las causas;Mujeres;Bélgica;145
001-102 I-XXII.Todas las causas;Mujeres;Bulgaría;107
001-102 I-XXII.Todas las causas;Mujeres;Dinamarca;44
001-102 I-XXII.Todas las causas;Mujeres;España;196.445
001-102 I-XXII.Todas las causas;Mujeres;Finlandia;23
001-102 I-XXII.Todas las causas;Mujeres;Francia;308
001-102 I-XXII.Todas las causas;Mujeres;Irlanda;45
001-102 I-XXII.Todas las causas;Mujeres;Italia;217
001-102 I-XXII.Todas las causas;Mujeres;Países Bajos;163
001-102 I-XXII.Todas las causas;Mujeres;Polonia;28
001-102 I-XXII.Todas las causas;Mujeres;Portugal;155
001-102 I-XXII.Todas las causas;Mujeres;Reino Unido;1.189
001-102 I-XXII.Todas las causas;Mujeres;Rumanía;313
001-102 I-XXII.Todas las causas;Mujeres;Suecia;81
001-102 I-XXII.Todas las causas;Mujeres;Resto de la UE-27;40
001-102 I-XXII.Todas las causas;Mujeres;Noruega;67
001-102 I-XXII.Todas las causas;Mujeres;Rusia;70
001-102 I-XXII.Todas las causas;Mujeres;Suiza;92
001-102 I-XXII.Todas las causas;Mujeres;Ucrania;74
001-102 I-XXII.Todas las causas;Mujeres;Resto de EUROPA;39
001-102 I-XXII.Todas las causas;Mujeres;PAÍSES DE ÁFRICA;389
001-102 I-XXII.Todas las causas;Mujeres;Argelia;13
001-102 I-XXII.Todas las causas;Mujeres;Marruecos;302
001-102 I-XXII.Todas las causas;Mujeres;Resto de ÁFRICA;74
001-102 I-XXII.Todas las causas;Mujeres;PAÍSES DE AMÉRICA;810
001-102 I-XXII.Todas las causas;Mujeres;Argentina;141
001-102 I-XXII.Todas las causas;Mujeres;Bolivia;32
